# N,K0,Re,CFL,VISC,STEPS,PALIN,SIG,TIME,DT,MINUTES,FPS,U,L,TAU_L,T_OVER_TAU_L,E(J),TS,AVERAGE_KIND,SPECTRUM_SAMPLES,T_START,T_END,TOTAL_DT,FIRST_STEP,LAST_STEP
# 8192,10,895834.1375582933,0.1,1.1162780676405386e-06,1000,380,3,0.005405560786576635,5.434923878055997e-06,1.3450946410497029,12.378311155121732,0.9984041669479471,0.5216967398920705,0.5225306115126318,0.010344964806805312,19.67625810808117,2026-05-10T13:57:26Z,simulation-time trapezoid,11,5.384892111570201e-06,0.005405560786576635,0.005400175894465065,1,1000
normalized_radius,shell_sum_energy,count
0.00014386124291718497,623654876589873.1,4
0.00025895023725093296,185320529778037.94,4
0.0003164947344178069,594446671595415.0,4
0.0003740392315846809,313122227719956.94,8
0.000489128225918429,2345851010607977.5,16
0.000604217220252177,1133552315724858.2,8
0.0006617617174190509,7730948618692287.0,16
0.0007193062145859248,4135919250134641.0,8
0.0008343952089196727,7799328040951792.0,20
0.0008919397060865469,1522428126215946.5,8
0.0009494842032534208,1.0070318388547168e+16,16
0.0010070287004202948,1.2897157399314804e+16,16
0.001064573197587169,1.269109393442733e+16,16
0.0011221176947540427,1978428109843220.8,4
0.0011796621919209168,1.7807214277544552e+16,28
0.0012372066890877908,3940314447886237.5,8
0.0012947511862546647,2.0544582921333212e+16,28
0.0013522956834215386,9932221208523208.0,12
0.0014098401805884126,8866532888124782.0,16
0.0014673846777552868,1.921931686954732e+16,20
0.001524929174922161,3.0030350306386292e+16,32
0.0015824736720890346,1.4257967663549184e+16,12
0.0016400181692559086,1.3365783844103008e+16,28
0.0016975626664227825,1.0916932651305328e+16,16
0.0017551071635896567,2.5145022717747124e+16,24
0.0018126516607565308,5279269891867067.0,28
0.0018701961579234046,2.3017377934939084e+16,28
0.0019277406550902787,7807896155985005.0,12
0.001985285152257153,3.3849225139159916e+16,48
0.0020428296494240266,2.3514217406398028e+16,20
0.0021003741465909003,1.610052273627002e+16,36
0.0021579186437577745,1.3327480954712466e+16,24
0.0022154631409246487,1.7041042576012062e+16,24
0.002273007638091523,1.3770197368814356e+16,28
0.0023305521352583966,3.003760741300682e+16,44
0.0023880966324252703,9405628162734968.0,16
0.0024456411295921444,2.1069988454867576e+16,44
0.0025031856267590186,1.9129590554156276e+16,32
0.0025607301239258928,2.2202214226647116e+16,36
0.002618274621092766,1.545265494111325e+16,36
0.00267581911825964,1.7714227981098072e+16,40
0.0027333636154265144,1.675953210298162e+16,20
0.0027909081125933885,1.8524491399223024e+16,60
0.0028484526097602627,1.6070639062249046e+16,24
0.002905997106927136,2.4157301234015628e+16,60
0.00296354160409401,1.009875113896692e+16,24
0.0030210861012608843,1.8766823456320664e+16,44
0.0030786305984277585,1.3090949926810246e+16,36
0.0031361750955946326,2.6548427180331828e+16,64
0.003193719592761506,8933842181085765.0,28
0.00325126408992838,2.615154778536849e+16,52
0.0033088085870952542,1.2385602753038304e+16,32
0.0033663530842621284,1.7671714802369946e+16,48
0.0034238975814290026,2.4301017033063544e+16,52
0.003481442078595876,1.7596651319063408e+16,52
0.00353898657576275,1.520222303937073e+16,24
0.003596531072929624,2.1413926146833656e+16,76
0.0036540755700964983,1.821900680249653e+16,40
0.0037116200672633725,2.1751607892365604e+16,44
0.003769164564430246,1.7208233818769054e+16,60
0.00382670906159712,1.5302137685303018e+16,48
0.0038842535587639945,1.9756571854222144e+16,44
0.003941798055930868,2.435670070655326e+16,76
0.0039993425530977424,2.295912478871667e+16,48
0.004056887050264616,1.5775239116405384e+16,68
0.004114431547431491,1.2576165125485506e+16,36
0.004171976044598364,2.2618017601784376e+16,64
0.004229520541765238,1.460531673980608e+16,52
0.004287065038932112,1.7536136749901414e+16,72
0.004344609536098986,2.088405395512079e+16,32
0.004402154033265861,1.863006493772453e+16,88
0.004459698530432734,1.706467346112178e+16,48
0.004517243027599608,2.2828251794121748e+16,64
0.004574787524766482,9381497557012640.0,60
0.004632332021933356,3.0978016725901524e+16,76
0.004689876519100231,7919519889137180.0,32
0.004747421016267104,1.7483492103842068e+16,92
0.004804965513433978,2.61025216524878e+16,60
0.004862510010600852,1.0805105198421386e+16,68
0.0049200545077677255,1.7849329239156672e+16,56
0.0049775990049346006,2.2309392683749676e+16,72
0.005035143502101474,1.1416062495276402e+16,76
0.005092687999268348,2.665629964917067e+16,84
0.005150232496435222,1.3240956066029012e+16,48
0.0052077769936020955,1.124537479684914e+16,76
0.00526532149076897,2.22370978170236e+16,64
0.005322865987935844,1.7249640298797562e+16,76
0.005380410485102719,1.0768769626818088e+16,68
0.005437954982269592,3.061444837140411e+16,88
0.005495499479436465,7423341037227812.0,52
0.0055530439766033396,2.853059497237863e+16,108
0.005610588473770214,1.3035757403085842e+16,56
