N,K0,Re,CFL,VISC,STEPS,PALIN,SIG,TIME,DT,MINUTES,FPS,U,L,TAU_L,T_OVER_TAU_L,E(J),TS
8192,10,990049.8362488038,0.1,1.0100501645340364e-06,1,405,3,5.384892111570201e-06,5.384851647249889e-06,0.008007136980692546,0.0,0.9984070195256108,0.5216295227322719,0.5224617941689975,1.0306767253929353e-05,19.67637054376235,2026-05-10T13:56:04Z
8192,10,980198.6757815194,0.1,1.0202013374509947e-06,1,405,3,5.384892111570201e-06,5.384851647249889e-06,0.02187414566675822,0.0,0.9984070195256108,0.5216295227322719,0.5224617941689975,1.0306767253929353e-05,19.67637054376235,2026-05-10T13:56:05Z
8192,10,970445.5359986481,0.1,1.0304545313518688e-06,101,402,3,0.000543870056836559,5.387676537793595e-06,0.09286756912867228,17.94670284044394,0.9984067383766342,0.5216323932559135,0.5224648163974384,0.0010409697261276206,19.67635946212375,2026-05-10T13:56:11Z
8192,10,960789.4415780839,0.1,1.040810771564593e-06,201,399,3,0.0010826377106159185,5.390104433899978e-06,0.18998251358668009,17.545474425005384,0.998406344890632,0.5216360964214258,0.5224687313846821,0.002072157902630151,19.676343952685812,2026-05-10T13:56:17Z
8192,10,951229.4269023382,0.1,1.0512710937218189e-06,301,396,3,0.0016216481540059164,5.394223080656957e-06,0.28750285307566326,17.39113176273117,0.9984060036005714,0.5216406756908561,0.5224734965631748,0.0031037902681630763,19.67633050062274,2026-05-10T13:56:23Z
8192,10,941764.5359619764,0.1,1.0618365438644791e-06,401,393,3,0.002161070462071612,5.399213023338234e-06,0.3850671569506327,17.312997346905288,0.9984058507836319,0.521646131440701,0.5224790409944712,0.004136185937637411,19.676324477256557,2026-05-10T13:56:28Z
8192,10,932393.8222600173,0.1,1.0725081785463925e-06,501,390,3,0.0027009917644054355,5.40498194823158e-06,0.48221017519632975,17.28153772354649,0.998405518080427,0.5216524000118804,0.5224854936848,0.005169505750976626,19.676311363586606,2026-05-10T13:56:34Z
8192,10,923116.3487172816,0.1,1.0832870649399204e-06,601,388,3,0.0032414899592285934,5.412396149040433e-06,0.5795019388198852,17.256197658914296,0.9984051251988499,0.5216594868511509,0.5224927974475825,0.00620389405378126,19.67629587793127,2026-05-10T13:56:40Z
8192,10,913931.1875786837,0.1,1.0941742809426845e-06,701,385,3,0.0037827295741326367,5.420148227130994e-06,0.677133051554362,17.229504068492567,0.9984048699661331,0.5216675029843236,0.5225009599582774,0.007239660525092039,19.6762858177658,2026-05-10T13:56:46Z
8192,10,904837.4203204556,0.1,1.1051709152853579e-06,801,383,3,0.004324744396845736,5.427589258033549e-06,0.7751279552777608,17.201461052395462,0.9984046122760676,0.5216764104893848,0.5225100165554291,0.00827686409794779,19.67627566084782,2026-05-10T13:56:52Z
8192,10,895834.1375582933,0.1,1.1162780676405386e-06,901,380,3,0.004867503322649091,5.434923878055997e-06,0.8733875950177511,17.17450543786935,0.9984043435366606,0.5216861603168857,0.5225199226086198,0.009315440640710212,19.6762650683541,2026-05-10T13:56:58Z
